,date,nyc_ww_smooth_raw,nyc_hosp_smooth_raw,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
63,2022-04-01,1545592.4908424937,1190.3333333333328,1109726.1904761926,872559.5238095245,852107.1428571428,1265.3333333333335,1474.9999999999995,1802.8333333333328,78.5,3.4,13.4,14.3,0,1
64,2022-04-08,2292866.300366301,1254.9999999999995,1545592.4908424937,1109726.1904761926,872559.5238095245,1190.3333333333328,1265.3333333333335,1474.9999999999995,78.7,2.1,12.5,14.3,0,1
65,2022-04-15,2957759.1575091565,1427.9999999999998,2292866.300366301,1545592.4908424937,1109726.1904761926,1254.9999999999995,1190.3333333333328,1265.3333333333335,78.9,1.6,10.2,14.4,0,1
66,2022-04-22,3760654.7619047617,1713.6666666666672,2957759.1575091565,2292866.300366301,1545592.4908424937,1427.9999999999998,1254.9999999999995,1190.3333333333328,79.1,1.5,7.1,14.4,0,1
67,2022-04-29,4696000.000000002,2021.8333333333323,3760654.7619047617,2957759.1575091565,2292866.300366301,1713.6666666666672,1427.9999999999998,1254.9999999999995,79.2,1.5,4.2,14.3,0,1
68,2022-05-06,6597261.904761903,2332.1666666666674,4696000.000000002,3760654.7619047617,2957759.1575091565,2021.8333333333323,1713.6666666666672,1427.9999999999998,79.4,1.8,3.1,13.5,0,1
69,2022-05-13,7777976.190476191,2602.8333333333326,6597261.904761903,4696000.000000002,3760654.7619047617,2332.1666666666674,2021.8333333333323,1713.6666666666672,79.5,2.0,2.7,11.4,0,1
70,2022-05-20,8579880.952380946,2770.5,7777976.190476191,6597261.904761903,4696000.000000002,2602.8333333333326,2332.1666666666674,2021.8333333333323,79.6,2.3,2.8,8.4,0,1
71,2022-05-27,7947395.238095242,2795.8333333333335,8579880.952380946,7777976.190476191,6597261.904761903,2770.5,2602.8333333333326,2332.1666666666674,79.8,2.6,2.9,5.5,0,1
72,2022-06-03,7853585.714285707,2658.1666666666674,7947395.238095242,8579880.952380946,7777976.190476191,2795.8333333333335,2770.5,2602.8333333333326,79.9,2.8,3.1,4.4,0,1
73,2022-06-10,7513228.571428565,2444.3333333333335,7853585.714285707,7947395.238095242,8579880.952380946,2658.1666666666674,2795.8333333333335,2770.5,80.0,3.0,3.2,3.9,0,1
74,2022-06-17,7555595.238095237,2262.833333333333,7513228.571428565,7853585.714285707,7947395.238095242,2444.3333333333335,2658.1666666666674,2795.8333333333335,80.1,3.1,3.4,3.9,0,1
75,2022-06-24,8408928.57142857,2198.4999999999995,7555595.238095237,7513228.571428565,7853585.714285707,2262.833333333333,2444.3333333333335,2658.1666666666674,80.2,3.3,3.7,4.0,0,1
76,2022-07-01,8979047.619047629,2272.6666666666642,8408928.57142857,7555595.238095237,7513228.571428565,2198.4999999999995,2262.833333333333,2444.3333333333335,80.3,3.3,3.9,4.1,0,1
77,2022-07-08,9853142.85714287,2464.833333333334,8979047.619047629,8408928.57142857,7555595.238095237,2272.6666666666642,2198.4999999999995,2262.833333333333,80.3,3.6,4.2,4.5,0,1
