,date,sf_ww_smooth_raw,sf_hosp_smooth_raw,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
64,2022-03-11,1713591.7836172665,70.00000000000003,2447812.8659907766,3492546.4228866585,5171694.835060089,98.33333333333334,133.33333333333337,171.99999999999994,82.9,8.0,8.6,8.8,0,1
65,2022-03-18,1423905.3109573226,51.33333333333336,1713591.7836172665,2447812.8659907766,3492546.4228866585,70.00000000000003,98.33333333333334,133.33333333333337,83.0,7.4,8.6,8.8,0,1
66,2022-03-25,1188171.1268673255,38.33333333333334,1423905.3109573226,1713591.7836172665,2447812.8659907766,51.33333333333336,70.00000000000003,98.33333333333334,83.1,6.3,8.6,8.8,0,1
67,2022-04-01,1218406.8662044774,32.333333333333336,1188171.1268673255,1423905.3109573226,1713591.7836172665,38.33333333333334,51.33333333333336,70.00000000000003,83.2,4.6,8.6,8.9,0,1
68,2022-04-08,1638715.3445567717,29.666666666666664,1218406.8662044774,1188171.1268673255,1423905.3109573226,32.333333333333336,38.33333333333334,51.33333333333336,83.2,3.2,8.4,9.0,0,1
69,2022-04-15,2257803.9513569116,30.33333333333333,1638715.3445567717,1218406.8662044774,1188171.1268673255,29.666666666666664,32.333333333333336,38.33333333333334,83.3,2.4,7.8,9.1,0,1
70,2022-04-22,3165709.234839531,36.0,2257803.9513569116,1638715.3445567717,1218406.8662044774,30.33333333333333,29.666666666666664,32.333333333333336,83.4,2.1,6.9,9.3,0,1
71,2022-04-29,4005404.9010896413,42.66666666666666,3165709.234839531,2257803.9513569116,1638715.3445567717,36.0,30.33333333333333,29.666666666666664,83.5,1.6,5.4,9.5,0,1
72,2022-05-06,5487106.950875771,53.33333333333335,4005404.9010896413,3165709.234839531,2257803.9513569116,42.66666666666666,36.0,30.33333333333333,83.6,1.7,4.2,9.4,0,1
73,2022-05-13,7084821.21807745,65.33333333333334,5487106.950875771,4005404.9010896413,3165709.234839531,53.33333333333335,42.66666666666666,36.0,83.8,1.9,3.7,9.1,0,1
74,2022-05-20,9114573.643614274,79.33333333333333,7084821.21807745,5487106.950875771,4005404.9010896413,65.33333333333334,53.33333333333335,42.66666666666666,83.9,2.3,3.6,8.4,0,1
75,2022-05-27,10317500.10381905,90.66666666666667,9114573.643614274,7084821.21807745,5487106.950875771,79.33333333333333,65.33333333333334,53.33333333333335,84.0,2.7,3.2,7.0,0,1
76,2022-06-03,11686774.712509517,95.99999999999999,10317500.10381905,9114573.643614274,7084821.21807745,90.66666666666667,79.33333333333333,65.33333333333334,84.1,3.1,3.4,5.9,0,1
77,2022-06-10,12693798.583619066,97.0,11686774.712509517,10317500.10381905,9114573.643614274,95.99999999999999,90.66666666666667,79.33333333333333,84.1,3.4,3.5,5.2,0,1
78,2022-06-17,14509456.922380961,97.3333333333333,12693798.583619066,11686774.712509517,10317500.10381905,97.0,95.99999999999999,90.66666666666667,84.2,3.7,3.9,5.2,0,1
79,2022-06-24,16748484.323099973,105.99999999999997,14509456.922380961,12693798.583619066,11686774.712509517,97.3333333333333,97.0,95.99999999999999,84.2,4.0,4.3,4.8,0,1
80,2022-07-01,19166132.54419524,113.66666666666664,16748484.323099973,14509456.922380961,12693798.583619066,105.99999999999997,97.3333333333333,97.0,84.3,4.2,4.6,4.9,0,1
81,2022-07-08,21497566.16114765,122.33333333333334,19166132.54419524,16748484.323099973,14509456.922380961,113.66666666666664,105.99999999999997,97.3333333333333,84.3,4.4,4.9,5.1,0,1
82,2022-07-15,23261145.610723775,126.66666666666664,21497566.16114765,19166132.54419524,16748484.323099973,122.33333333333334,113.66666666666664,105.99999999999997,84.4,4.5,5.1,5.3,0,1
