,date,sd_covid_ww_smooth,sd_hospitalizations,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority,TARGET0,TARGET1,TARGET2
63,2022-05-13,5169250.972222225,49.42857142857143,4306602.638888891,3543057.1388888913,2871988.3888888913,40.14285714285714,45.857142857142854,44.85714285714286,76.0,1.6,6.9,11.9,0,1,49.42857142857143,50.57142857142857,61.71428571428571
64,2022-05-20,5940897.055555559,50.57142857142857,5169250.972222225,4306602.638888891,3543057.1388888913,49.42857142857143,40.14285714285714,45.857142857142854,76.2,1.4,5.0,11.8,0,1,50.57142857142857,61.71428571428571,79.85714285714285
65,2022-05-27,6484266.555555559,61.71428571428571,5940897.055555559,5169250.972222225,4306602.638888891,50.57142857142857,49.42857142857143,40.14285714285714,76.3,1.3,3.3,11.5,0,1,61.71428571428571,79.85714285714285,92.85714285714286
66,2022-06-03,6854615.750000003,79.85714285714285,6484266.555555559,5940897.055555559,5169250.972222225,61.71428571428571,50.57142857142857,49.42857142857143,76.3,1.5,2.6,10.3,0,1,79.85714285714285,92.85714285714286,92.85714285714286
67,2022-06-10,6883517.000000003,92.85714285714286,6854615.750000003,6484266.555555559,5940897.055555559,79.85714285714285,61.71428571428571,50.57142857142857,76.5,1.6,2.5,7.8,0,1,92.85714285714286,92.85714285714286,103.85714285714285
68,2022-06-17,6582575.666666669,92.85714285714286,6883517.000000003,6854615.750000003,6484266.555555559,92.85714285714286,79.85714285714285,61.71428571428571,76.6,1.8,2.4,6.1,0,1,92.85714285714286,103.85714285714285,131.42857142857144
69,2022-06-24,6283903.333333336,103.85714285714285,6582575.666666669,6883517.000000003,6854615.750000003,92.85714285714286,92.85714285714286,79.85714285714285,76.7,2.0,2.5,4.5,0,1,103.85714285714285,131.42857142857144,163.28571428571428
70,2022-07-01,6344259.000000003,131.42857142857144,6283903.333333336,6582575.666666669,6883517.000000003,103.85714285714285,92.85714285714286,92.85714285714286,76.8,2.1,2.5,3.7,0,1,131.42857142857144,163.28571428571428,181.0
71,2022-07-08,6928612.916666669,163.28571428571428,6344259.000000003,6283903.333333336,6582575.666666669,131.42857142857144,103.85714285714285,92.85714285714286,76.9,2.5,2.9,3.7,0,1,163.28571428571428,181.0,207.57142857142856
72,2022-07-15,9242071.333333336,181.0,6928612.916666669,6344259.000000003,6283903.333333336,163.28571428571428,131.42857142857144,103.85714285714285,76.6,2.8,3.1,3.7,0,1,181.0,207.57142857142856,208.57142857142856
73,2022-07-22,12770252.41666667,207.57142857142856,9242071.333333336,6928612.916666669,6344259.000000003,181.0,163.28571428571428,131.42857142857144,76.8,3.1,3.4,3.9,0,1,207.57142857142856,208.57142857142856,190.07142857142856
74,2022-07-29,16652408.500000002,208.57142857142856,12770252.41666667,9242071.333333336,6928612.916666669,207.57142857142856,181.0,163.28571428571428,76.9,3.5,3.8,4.2,0,1,208.57142857142856,190.07142857142856,155.00000000000003
75,2022-08-05,17543201.750000004,190.07142857142856,16652408.500000002,12770252.41666667,9242071.333333336,208.57142857142856,207.57142857142856,181.0,77.1,3.8,4.1,4.4,0,1,190.07142857142856,155.00000000000003,138.21428571428572
