,Date,charlotte_covid_ww_smoothed,charlotte_hospitalizations_smoothed,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,Percent_Series_City,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
46,2021-12-10,19859061.333333332,60.52380952380952,9661745.333333334,7610754.833333333,10062322.333333334,51.666666666666664,48.19047619047618,49.38095238095238,57.7,2.7,3.8,4.0,0,0
47,2021-12-17,24822401.833333332,84.76190476190476,19859061.333333332,9661745.333333334,7610754.833333333,60.52380952380952,51.666666666666664,48.19047619047618,58.3,2.4,3.8,4.1,0,0
48,2021-12-24,36880018.666666664,123.76190476190476,24822401.833333332,19859061.333333332,9661745.333333334,84.76190476190476,60.52380952380952,51.666666666666664,59.0,2.2,3.6,4.2,0,0
49,2021-12-31,111993076.13913663,191.95238095238096,36880018.666666664,24822401.833333332,19859061.333333332,123.76190476190476,84.76190476190476,60.52380952380952,59.4,2.0,3.4,4.3,0,1
50,2022-01-07,226101016.97246996,259.1428571428571,111993076.13913663,36880018.666666664,24822401.833333332,191.95238095238096,123.76190476190476,84.76190476190476,59.8,1.9,3.2,4.4,0,1
51,2022-01-14,271796354.8058033,328.38095238095235,226101016.97246996,111993076.13913663,36880018.666666664,259.1428571428571,191.95238095238096,123.76190476190476,60.1,1.7,3.1,4.4,0,1
52,2022-01-21,242215467.0,362.38095238095235,271796354.8058033,226101016.97246996,111993076.13913663,328.38095238095235,259.1428571428571,191.95238095238096,60.4,1.7,3.0,4.4,0,1
53,2022-01-28,156320359.5,373.90476190476187,242215467.0,271796354.8058033,226101016.97246996,362.38095238095235,328.38095238095235,259.1428571428571,60.8,2.4,3.5,4.8,0,1
54,2022-02-04,116454492.16666667,365.23809523809524,156320359.5,242215467.0,271796354.8058033,373.90476190476187,362.38095238095235,328.38095238095235,61.1,3.7,4.7,6.0,0,1
55,2022-02-11,62528096.166666664,345.52380952380946,116454492.16666667,156320359.5,242215467.0,365.23809523809524,373.90476190476187,362.38095238095235,61.4,5.2,6.0,7.3,0,1
56,2022-02-18,30724991.5,311.5238095238096,62528096.166666664,116454492.16666667,156320359.5,345.52380952380946,365.23809523809524,373.90476190476187,61.6,6.9,7.5,8.7,0,1
57,2022-02-25,11001263.166666666,275.8095238095238,30724991.5,62528096.166666664,116454492.16666667,311.5238095238096,345.52380952380946,365.23809523809524,61.8,8.7,9.2,10.3,0,1
58,2022-03-04,11464766.0,241.61904761904762,11001263.166666666,30724991.5,62528096.166666664,275.8095238095238,311.5238095238096,345.52380952380946,61.9,9.5,9.9,10.8,0,1
59,2022-03-11,8086825.833333333,215.04761904761904,11464766.0,11001263.166666666,30724991.5,241.61904761904762,275.8095238095238,311.5238095238096,62.1,9.8,10.2,10.9,0,1
60,2022-03-18,6484646.333333333,183.61904761904762,8086825.833333333,11464766.0,11001263.166666666,215.04761904761904,241.61904761904762,275.8095238095238,62.2,10.0,10.4,10.9,0,1
61,2022-03-25,5025812.833333333,170.0,6484646.333333333,8086825.833333333,11464766.0,183.61904761904762,215.04761904761904,241.61904761904762,62.3,10.0,10.4,10.9,0,1
62,2022-04-01,5467026.333333333,146.57142857142858,5025812.833333333,6484646.333333333,8086825.833333333,170.0,183.61904761904762,215.04761904761904,62.5,9.9,10.5,10.9,0,1
63,2022-04-08,6122301.944444444,133.0952380952381,5467026.333333333,5025812.833333333,6484646.333333333,146.57142857142858,170.0,183.61904761904762,62.8,9.8,10.4,10.8,0,1
64,2022-04-15,7211444.777777777,114.47619047619048,6122301.944444444,5467026.333333333,5025812.833333333,133.0952380952381,146.57142857142858,170.0,63.1,9.6,10.4,10.8,0,1
65,2022-04-22,18562089.277777776,125.95238095238096,7211444.777777777,6122301.944444444,5467026.333333333,114.47619047619048,133.0952380952381,146.57142857142858,63.4,8.8,10.3,10.7,0,1
66,2022-04-29,25254838.0,140.76190476190476,18562089.277777776,7211444.777777777,6122301.944444444,125.95238095238096,114.47619047619048,133.0952380952381,63.6,7.4,10.1,10.7,0,1
67,2022-05-06,35094816.0,155.80952380952382,25254838.0,18562089.277777776,7211444.777777777,140.76190476190476,125.95238095238096,114.47619047619048,63.8,5.8,10.0,10.6,0,1
68,2022-05-13,29298951.5,165.2857142857143,35094816.0,25254838.0,18562089.277777776,155.80952380952382,140.76190476190476,125.95238095238096,64.1,4.0,9.8,10.5,0,1
69,2022-05-20,37667587.666666664,188.42857142857144,29298951.5,35094816.0,25254838.0,165.2857142857143,155.80952380952382,140.76190476190476,64.3,2.2,9.0,10.5,0,1
70,2022-05-27,48896303.833333336,255.57142857142858,37667587.666666664,29298951.5,35094816.0,188.42857142857144,165.2857142857143,155.80952380952382,64.5,1.5,7.7,10.4,0,1
71,2022-06-03,66924464.666666664,354.14285714285717,48896303.833333336,37667587.666666664,29298951.5,255.57142857142858,188.42857142857144,165.2857142857143,64.7,1.2,6.2,10.4,0,1
72,2022-06-10,69009694.16666667,443.23809523809524,66924464.666666664,48896303.833333336,37667587.666666664,354.14285714285717,255.57142857142858,188.42857142857144,64.9,1.2,4.6,10.4,0,1
73,2022-06-17,306209724.0555555,487.3333333333333,69009694.16666667,66924464.666666664,48896303.833333336,443.23809523809524,354.14285714285717,255.57142857142858,65.0,1.2,3.0,9.8,0,1
74,2022-06-24,435875214.27777773,470.61904761904765,306209724.0555555,69009694.16666667,66924464.666666664,487.3333333333333,443.23809523809524,354.14285714285717,65.1,1.4,2.4,8.6,0,1
75,2022-07-01,581772691.8888888,416.19047619047615,435875214.27777773,306209724.0555555,69009694.16666667,470.61904761904765,487.3333333333333,443.23809523809524,65.2,1.6,2.2,7.2,0,1
76,2022-07-08,582991957.1111112,331.95238095238096,581772691.8888888,435875214.27777773,306209724.0555555,416.19047619047615,470.61904761904765,487.3333333333333,65.3,1.8,2.2,5.7,0,1
77,2022-07-15,759243724.2222222,248.95238095238096,582991957.1111112,581772691.8888888,435875214.27777773,331.95238095238096,416.19047619047615,470.61904761904765,65.5,2.0,2.3,4.0,0,1
78,2022-07-22,913998348.5555557,183.14285714285714,759243724.2222222,582991957.1111112,581772691.8888888,248.95238095238096,331.95238095238096,416.19047619047615,65.7,2.2,2.4,3.4,0,1
79,2022-07-29,940997558.7777777,130.0952380952381,913998348.5555557,759243724.2222222,582991957.1111112,183.14285714285714,248.95238095238096,331.95238095238096,65.8,2.4,2.6,3.2,0,1
80,2022-08-05,928485728.7777777,94.23809523809524,940997558.7777777,913998348.5555557,759243724.2222222,130.0952380952381,183.14285714285714,248.95238095238096,65.9,2.6,2.8,3.2,0,1
81,2022-08-12,827598204.75,65.80952380952381,928485728.7777777,940997558.7777777,913998348.5555557,94.23809523809524,130.0952380952381,183.14285714285714,66.1,2.8,3.0,3.3,0,1
82,2022-08-19,749221734.0833334,47.476190476190474,827598204.75,928485728.7777777,940997558.7777777,65.80952380952381,94.23809523809524,130.0952380952381,66.1,3.0,3.3,3.5,0,1
83,2022-08-26,667858548.8611112,68.33333333333333,749221734.0833334,827598204.75,928485728.7777777,47.476190476190474,65.80952380952381,94.23809523809524,66.2,3.2,3.6,3.8,0,1
84,2022-09-02,858428094.8888888,116.95238095238096,667858548.8611112,749221734.0833334,827598204.75,68.33333333333333,47.476190476190474,65.80952380952381,66.3,3.3,3.9,4.1,0,1
85,2022-09-09,840697194.8055555,147.61904761904762,858428094.8888888,667858548.8611112,749221734.0833334,116.95238095238096,68.33333333333333,47.476190476190474,66.3,3.4,4.1,4.4,0,1
86,2022-09-16,748956822.361111,189.95238095238096,840697194.8055555,858428094.8888888,667858548.8611112,147.61904761904762,116.95238095238096,68.33333333333333,66.5,3.4,4.3,4.6,0,1
87,2022-09-23,351369631.0833333,214.33333333333334,748956822.361111,840697194.8055555,858428094.8888888,189.95238095238096,147.61904761904762,116.95238095238096,66.8,3.3,4.3,4.7,0,1
88,2022-09-30,285545407.72222227,261.38095238095235,351369631.0833333,748956822.361111,840697194.8055555,214.33333333333334,189.95238095238096,147.61904761904762,67.0,3.3,4.3,4.9,0,1
89,2022-10-07,230287317.94444445,260.09523809523813,285545407.72222227,351369631.0833333,748956822.361111,261.38095238095235,214.33333333333334,189.95238095238096,67.4,3.2,4.2,5.0,0,1
90,2022-10-14,263967273.61111113,243.95238095238096,230287317.94444445,285545407.72222227,351369631.0833333,260.09523809523813,261.38095238095235,214.33333333333334,67.7,3.1,4.1,5.0,0,1
91,2022-10-21,168931169.7888889,231.2857142857143,263967273.61111113,230287317.94444445,285545407.72222227,243.95238095238096,260.09523809523813,261.38095238095235,68.0,3.0,4.0,5.0,0,1
92,2022-10-28,130818772.5,224.76190476190473,168931169.7888889,263967273.61111113,230287317.94444445,231.2857142857143,243.95238095238096,260.09523809523813,68.3,2.9,3.9,4.9,0,1
93,2022-11-04,117757700.73333333,227.90476190476193,130818772.5,168931169.7888889,263967273.61111113,224.76190476190473,231.2857142857143,243.95238095238096,68.6,2.7,3.8,4.8,0,1
94,2022-11-11,152469221.86666667,234.52380952380952,117757700.73333333,130818772.5,168931169.7888889,227.90476190476193,224.76190476190473,231.2857142857143,68.9,2.5,3.6,4.6,0,1
95,2022-11-18,135292935.76666668,243.2857142857143,152469221.86666667,117757700.73333333,130818772.5,234.52380952380952,227.90476190476193,224.76190476190473,69.1,2.1,3.4,4.3,0,1
96,2022-11-25,148837045.03333333,253.2857142857143,135292935.76666668,152469221.86666667,117757700.73333333,243.2857142857143,234.52380952380952,227.90476190476193,69.3,1.9,3.2,4.2,0,1
97,2022-12-02,197452838.5,261.14285714285717,148837045.03333333,135292935.76666668,152469221.86666667,253.2857142857143,243.2857142857143,234.52380952380952,69.4,1.7,3.0,4.1,0,1
98,2022-12-09,304235580.8,274.4285714285714,197452838.5,148837045.03333333,135292935.76666668,261.14285714285717,253.2857142857143,243.2857142857143,69.5,1.5,2.8,3.9,0,1
99,2022-12-16,414869678.26666665,302.8095238095238,304235580.8,197452838.5,148837045.03333333,274.4285714285714,261.14285714285717,253.2857142857143,69.7,1.4,2.5,3.7,0,1
100,2022-12-23,780324167.8222222,330.8095238095238,414869678.26666665,304235580.8,197452838.5,302.8095238095238,274.4285714285714,261.14285714285717,69.8,1.2,2.2,3.5,0,1
101,2022-12-30,698729059.2444445,387.80952380952385,780324167.8222222,414869678.26666665,304235580.8,330.8095238095238,302.8095238095238,274.4285714285714,69.9,1.1,2.0,3.3,0,1
102,2023-01-06,1034455521.4444445,427.19047619047615,698729059.2444445,780324167.8222222,414869678.26666665,387.80952380952385,330.8095238095238,302.8095238095238,70.0,1.1,1.9,3.1,0,1
103,2023-01-13,709978764.2222222,442.04761904761904,1034455521.4444445,698729059.2444445,780324167.8222222,427.19047619047615,387.80952380952385,330.8095238095238,70.1,1.1,1.8,2.9,0,1
104,2023-01-20,793774911.0666666,445.19047619047615,709978764.2222222,1034455521.4444445,698729059.2444445,442.04761904761904,427.19047619047615,387.80952380952385,70.1,1.1,1.8,2.8,0,1
105,2023-01-27,461921075.06666666,453.52380952380946,793774911.0666666,709978764.2222222,1034455521.4444445,445.19047619047615,442.04761904761904,427.19047619047615,70.2,1.0,1.6,2.4,0,1
106,2023-02-03,588041458.6666666,478.2380952380952,461921075.06666666,793774911.0666666,709978764.2222222,453.52380952380946,445.19047619047615,442.04761904761904,70.2,1.4,1.8,2.6,0,1
107,2023-02-10,618625767.4,466.6666666666666,588041458.6666666,461921075.06666666,793774911.0666666,478.2380952380952,453.52380952380946,445.19047619047615,70.3,1.6,1.9,2.6,0,1
108,2023-02-17,685584812.3333334,448.52380952380946,618625767.4,588041458.6666666,461921075.06666666,466.6666666666666,478.2380952380952,453.52380952380946,70.3,1.6,1.9,2.5,0,1
109,2023-02-24,469867453.9555555,426.6666666666667,685584812.3333334,618625767.4,588041458.6666666,448.52380952380946,466.6666666666666,478.2380952380952,70.3,1.6,1.9,2.5,0,1
110,2023-03-03,397685089.22222215,416.47619047619054,469867453.9555555,685584812.3333334,618625767.4,426.6666666666667,448.52380952380946,466.6666666666666,70.3,1.7,2.0,2.4,0,1
111,2023-03-10,271876795.5555556,410.19047619047615,397685089.22222215,469867453.9555555,685584812.3333334,416.47619047619054,426.6666666666667,448.52380952380946,70.4,1.7,2.1,2.4,0,1
112,2023-03-17,292328850.8666667,417.61904761904765,271876795.5555556,397685089.22222215,469867453.9555555,410.19047619047615,416.47619047619054,426.6666666666667,70.4,1.7,2.0,2.4,0,1
