,date,city_name,ww_raw,hosp_raw,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,theme1_socioeconomic_status,theme2_minority_status_and_language,theme3_housing_type_and _transport,theme4_epidemiological_factors,theme5_healthcare_system,theme6_high_risk_environments,theme7_population_density,ccvi_std,TARGET0,TARGET1,TARGET2
44,2021-12-10,NYC,44835.511759940935,43.94203346315068,31214.58987547481,20698.628322613626,17700.633217650415,38.86274898265546,33.25842361022549,29.17477222851041,71.3,1.6,2.2,2.8,0.6665990325343041,0.9007367885528166,0.5331927422204699,0.2946567623811354,0.8450799576909643,0.1295490929069606,0.988377052718578,0.2370603351584131,43.94203346315068,49.81665766513231,61.33060996567277
43,2021-12-10,Charlotte,2107203.0632639984,15.138058742034392,1025187.395373201,807561.1243333329,1067691.7749762938,13.581809712479455,12.41462294031325,14.395303523383172,57.7,2.7,3.8,4.0,0.5487411375258293,0.813481228627227,0.2865524130749503,0.2435302525494415,0.967430426849942,0.2957094924974624,0.8147694548371467,0.2079029349264265,15.138058742034392,16.69430777158933,17.720017359250537
48,2021-12-10,Denver,13670.264562512011,25.750287126417984,16455.16704567456,17390.051989452077,13803.399568624005,26.55657832062608,25.250182461656003,24.270385567428452,76.0,1.2,2.5,9.5,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,25.750287126417984,22.096461208361056,19.238720266864014
48,2021-12-10,San Francisco,152955.8618194376,4.272847899317843,127004.10690057544,110698.41494916953,110639.38303804483,3.7724242714698097,3.4644712697171727,3.887906647127048,78.3,0.7,1.1,1.8,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,4.272847899317843,4.75402446455634,5.158212779356678
48,2021-12-10,Houston,19921.736455810435,10.102512319941377,17962.562019486588,17723.356467105776,18603.620002039173,10.376516512962937,10.421812599072194,10.86660531348931,65.4,1.2,1.7,2.8,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,10.102512319941377,11.062640833699861,15.785314729681275
37,2021-12-10,San Diego,199579.5179533162,9.864459447186631,138381.64837794512,93427.18433935718,70134.39999682855,8.948032624176863,8.093387394621214,8.7009062936075,53.7,1.4,2.4,3.2,0.5170343802187086,0.8581315240296948,0.2917050520112291,0.0878405825073966,0.7487042792379341,0.3977996098594534,0.9316680825004874,0.2422726267742356,9.864459447186631,10.317524384161178,9.689411623092804
44,2021-12-17,Charlotte,2633852.6430237065,16.69430777158933,2107203.0632639984,1025187.395373201,807561.1243333329,15.138058742034392,13.581809712479455,12.41462294031325,58.3,2.4,3.8,4.1,0.5487411375258293,0.813481228627227,0.2865524130749503,0.2435302525494415,0.967430426849942,0.2957094924974624,0.8147694548371467,0.2079029349264265,16.69430777158933,17.720017359250537,20.16049879196169
49,2021-12-17,Houston,24695.966125707797,11.062640833699861,19921.736455810435,17962.562019486588,17723.356467105776,10.102512319941377,10.376516512962937,10.421812599072194,65.4,1.4,1.9,2.5,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,11.062640833699861,15.785314729681275,27.50957544409174
45,2021-12-17,NYC,59972.60676930166,49.81665766513231,44835.511759940935,31214.58987547481,20698.628322613626,43.94203346315068,38.86274898265546,33.25842361022549,71.9,2.7,3.2,3.9,0.6665990325343041,0.9007367885528166,0.5331927422204699,0.2946567623811354,0.8450799576909643,0.1295490929069606,0.988377052718578,0.2370603351584131,49.81665766513231,61.33060996567277,86.10087248961909
49,2021-12-17,Denver,15294.945656483822,22.096461208361056,13670.264562512011,16455.16704567456,17390.051989452077,25.750287126417984,26.55657832062608,25.250182461656003,76.1,1.4,2.1,8.0,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,22.096461208361056,19.238720266864014,22.045430120120038
