,date,den_metro_ww_smooth,den_hospitalizations,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
58,2021-09-26,72404.175,212.07142857142858,68516.55,73209.7375,59135.512500000004,217.85714285714283,200.71428571428572,197.42857142857144,74.8,9.7,10.8,12.0,0,0
59,2021-10-03,74411.375,210.42857142857144,72404.175,68516.55,73209.7375,212.07142857142858,217.85714285714283,200.71428571428572,75.0,9.5,10.5,11.8,0,0
60,2021-10-10,62239.375,203.8571428571429,74411.375,72404.175,68516.55,210.42857142857144,212.07142857142858,217.85714285714283,75.2,8.5,10.3,11.6,0,0
61,2021-10-17,80677.975,232.71428571428572,62239.375,74411.375,72404.175,203.8571428571429,210.42857142857144,212.07142857142858,75.3,6.9,10.1,11.3,0,0
62,2021-10-24,112179.4,252.71428571428572,80677.975,62239.375,74411.375,232.71428571428572,203.8571428571429,210.42857142857144,75.4,4.8,9.9,11.1,0,0
63,2021-10-31,177055.55,287.2857142857142,112179.4,80677.975,62239.375,252.71428571428572,232.71428571428572,203.8571428571429,75.5,2.9,9.7,10.8,0,0
64,2021-11-07,189447.72499999998,308.0,177055.55,112179.4,80677.975,287.2857142857142,252.71428571428572,232.71428571428572,75.6,1.8,8.8,10.6,0,0
65,2021-11-14,193207.15000000002,339.7142857142857,189447.72499999998,177055.55,112179.4,308.0,287.2857142857142,252.71428571428572,75.7,1.3,7.2,10.4,0,0
66,2021-11-21,243409.77500000002,353.4285714285714,193207.15000000002,189447.72499999998,177055.55,339.7142857142857,308.0,287.2857142857142,75.8,1.0,5.2,10.3,0,0
67,2021-11-28,230324.125,371.71428571428567,243409.77500000002,193207.15000000002,189447.72499999998,353.4285714285714,339.7142857142857,308.0,76.0,1.0,3.5,10.3,0,0
68,2021-12-05,191343.65000000002,360.42857142857144,230324.125,243409.77500000002,193207.15000000002,371.71428571428567,353.4285714285714,339.7142857142857,76.0,1.2,2.5,9.5,0,0
69,2021-12-12,214084.42500000002,309.2857142857143,191343.65000000002,230324.125,243409.77500000002,360.42857142857144,371.71428571428567,353.4285714285714,76.1,1.4,2.1,8.0,0,0
70,2021-12-19,214961.15000000002,269.2857142857143,214084.42500000002,191343.65000000002,230324.125,309.2857142857143,360.42857142857144,371.71428571428567,76.2,1.6,2.0,6.2,0,0
71,2021-12-26,200123.27500000002,308.57142857142856,214961.15000000002,214084.42500000002,191343.65000000002,269.2857142857143,309.2857142857143,360.42857142857144,76.3,1.8,2.1,4.6,0,0
72,2022-01-02,254186.00000000003,389.0,200123.27500000002,214961.15000000002,214084.42500000002,308.57142857142856,269.2857142857143,309.2857142857143,76.4,2.1,2.4,3.7,0,1
73,2022-01-09,557657.2000000001,452.57142857142856,254186.00000000003,200123.27500000002,214961.15000000002,389.0,308.57142857142856,269.2857142857143,76.5,2.3,2.5,3.3,0,1
74,2022-01-16,1014167.15,462.85714285714283,557657.2000000001,254186.00000000003,200123.27500000002,452.57142857142856,389.0,308.57142857142856,76.5,2.5,2.7,3.2,0,1
75,2022-01-23,1035399.0,384.4285714285714,1014167.15,557657.2000000001,254186.00000000003,462.85714285714283,452.57142857142856,389.0,76.6,2.7,3.0,3.3,0,1
76,2022-01-30,744290.95,306.3571428571429,1035399.0,1014167.15,557657.2000000001,384.4285714285714,462.85714285714283,452.57142857142856,76.7,2.9,3.1,3.4,0,1
77,2022-02-06,480476.65,240.85714285714286,744290.95,1035399.0,1014167.15,306.3571428571429,384.4285714285714,462.85714285714283,76.7,3.0,3.3,3.5,0,1
